 CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3225-1 	 1 (2.0%) 
 CITS2023-2 + ENSC3221-2 + ENSC3224-1 + ENSC3225-1 + ENSC3227-2 + ENSC3210-1 + ENSC3221-1 + MECH3023-2 	 1 (2.0%) 
 CITS1021-2 + CITS2021-1 + CITS2023-2 + ENSC2224-1 + ENSC3211-2 + ENSC3213-2 + MATH2221-1 + STAT1524-1 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + MATH3224-1 + MATH3221-1 + STAT3264-1 + STAT3260-2 	 1 (2.0%) 
 BIOC3221-1 + BIOC3224-1 + BIOC3225-2 + BIOC3225-2 + CITS1023-2 + CITS2021-1 + CITS2023-2 + MATH1211-1 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + GRMN2025-1 + GRMN2020-2 + MATH1214-1 + MATH2521-2 + PHYS2221-1 + PHYS2223-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + MGMT1135-1 + MGMT1136-2 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-2 + CITS2023-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + CLAN3224-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + CITS3025-1 + ECON1121-2 + FINA2229-1 + FINA2224-1 + MGMT1135-1 + MKTG1225-2 + PHAR1121-2 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3223-2 + STAT2023-2 	 2 (2.8%) 
 CITS1221-1 + CITS1023-2 + CITS2223-2 + CITS2023-2 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS3220-2 + ENSC1225-2 + ENSC2221-1 + ENSC2224-1 + MATH1214-1 	 1 (2.0%) 
 CITS2223-2 + CITS2021-1 + CITS2023-2 + ENSC2221-1 + ENSC2224-1 + ENSC3223-2 + FINA1221-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-1 + CITS2223-2 + CITS2211-2 + CITS2021-1 + CITS2023-2 + CITS3025-1 + SCIE1120-2 + STAT2021-1 	 1 (2.0%) 
 ARTF2250-2 + CITS2223-2 + CITS2021-1 + CITS2023-2 + POLS1121-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + FINA1129-2 + MGMT1135-2 + STAT1023-2 	 1 (2.0%) 
 CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3225-1 + CITS3025-1 + JAPN1023-2 + MATH3225-2 + MUSC2275-1 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + MKTG1220-1 + MKTG2321-2 + MKTG2325-1 + MKTG3326-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + FINA2220-1 + FINA2225-1 + FINA2224-1 + FINA2223-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2023-2 + ENSC1220-1 + MATH1211-2 + MATH1214-1 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + STAT1024-1 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + IMED2223-2 + SCIE2124-1 + SPAN1021-1 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + ENSC3228-2 + ENSC3229-1 + ENSC3215-1 + MATH1621-1 + MKTG1225-2 + SCIE1121-1 + SCIE1123-2 	 1 (2.0%) 
